customerno,customertype
3XL001,Retail
ACE001,Retail
AGOPS,Retail
AGSALES,Retail
AM3001,Retail
AMA001,Retail
AMA002,Retail
AMA003,Retail
AMA004,Retail
AMA005,Retail
AMA006,Retail
AMA007,Retail
AMA008,Retail
AMA009,Retail
AMA010,Retail
BED001,Retail
BED003,Retail
BED004,Retail
BED005,Retail
BJS001,Retail
CAN002,Retail
CHE004,Retail
CIN001,Retail
COS001,Retail
COS002,Retail
COS003,Retail
COS004,Retail
COS005,Retail
CRA001,Retail
DIR011,DR
DIR105,DR
DIR107,DR
DIR108,DR
DIR109,DR
DIR110,DR
DIR111,DR
FRY001,Retail
GLO002,Retail
GMA001,Retail
GRO004,Retail
HAM001,Retail
HAW002,Retail
HAY001,Retail
HOM011,Retail
HOM014,Retail
HOM015,Retail
HSN001,Retail
HUD001,Retail
HYD005,Retail
HYD010,Retail
HYD011,Retail
KOH001,Retail
KOH002,Retail
LIF002,Retail
LNL001,Retail
LOW001,Retail
LOW002,Retail
MAC001,Retail
MAC002,Retail
MCG001,Retail
MEH001,Retail
MEH002,Retail
MEI001,Retail
MIL003,Retail
OPE001,Retail
PRO004,Retail
QVC001,Retail
QVC003,Retail
SAM001,Retail
SAM002,Retail
SCO003,Retail
SCO005,Retail
SCO006,Retail
SER002,Retail
SHA002,Retail
SIR001,Retail
SOC001,Retail
SPR003,Retail
STE003,Retail
SUR001,Retail
SUR002,Retail
TAR001,Retail
TAR002,Retail
TAS001,Retail
TRA002,Retail
TRU001,Retail
WAL002,Retail
WAL005,Retail
WAL006,Retail
WAL007,Retail
WAY002,Retail
WIL002,Retail
WOO002,Retail
WOO003,Retail
ZUL001,Retail
